arCOG_name	locus_tag	E-value	score	arCOG_familiy	Gene_name	Description	HVO
arCOG00024	WP_004041419.1	2.4E-229	759.3	C	GlpK	Glycerol kinase	HVO_1541
arCOG00025	WP_004041992.1	4.9E-122	405.6	G	XylB	Sugar (pentulose and hexulose) kinase	HVO_2109
arCOG00025	WP_004043191.1	5.5E-185	613.3	G	XylB	Sugar (pentulose and hexulose) kinase	HVO_A0276
arCOG00027	WP_004041109.1	2.5E-85	284.7	E	MfnA	L-tyrosine decarboxylase, PLP-dependent protein	HVO_B0045
arCOG00027	WP_013035565.1	1.2E-102	341.8	E	MfnA	L-tyrosine decarboxylase, PLP-dependent protein	HVO_0811
arCOG00028	WP_004043856.1	7.4E-87	287.8	F	-	Orotate phosphoribosyltransferase homolog	HVO_1082
arCOG00029	WP_004044590.1	2.6E-63	210.3	F	PyrE	Orotate phosphoribosyltransferase	HVO_0333
arCOG00030	WP_004043866.1	4.8E-77	255.1	F	Apt	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	HVO_1072
arCOG00030	WP_004042138.1	1.1E-75	250.7	F	Apt	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	HVO_2250
arCOG00031	WP_004044587.1	4.4E-74	246.8	F	Apt	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	HVO_0334
arCOG00033	WP_004044016.1	1.8E-101	337.2	J	Trm5	Wybutosine (yW) biosynthesis enzyme Trm5, tRNA (guanine) methyltransferase	HVO_0929
arCOG00034	WP_004044488.1	1.1E-54	182.9	H	PDX2	Predicted glutamine amidotransferase involved in pyridoxine biosynthesis	HVO_0436
arCOG00035	WP_004043861.1	2.6E-76	253.6	J	Dph6	Diphthamide synthase (EF-2-diphthine--ammonia ligase)	HVO_1077
arCOG00037	WP_004041738.1	1.6E-83	276.7	J	-	Predicted subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain	HVO_1856
arCOG00038	WP_004041542.1	7.6E-80	266.4	J	ThiI	tRNA S(4)U 4-thiouridine synthase	HVO_1651
arCOG00039	WP_004041606.1	8.6E-63	209.8	J	QueC	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	HVO_1716
arCOG00040	WP_004044241.1	1.2E-56	189.3	H	Hpt1	Hypoxanthine phosphoribosyltransferase	HVO_0694
arCOG00041	WP_004045184.1	2.7E-79	262.9	R	-	Predicted phosphoribosyltransferase	HVO_0101
arCOG00042	WP_004044353.1	3.6E-76	254.2	J	TilS	tRNA(Ile)-lysidine synthase TilS/MesJ	HVO_0580
arCOG00043	WP_004045304.1	5.3E-113	374.3	R	-	ATP-utilizing enzyme of the PP-loop superfamily	HVO_0190
arCOG00047	WP_004045269.1	3.8E-102	339.7	J	Trm11	tRNA G10 N-methylase Trm11	HVO_0156
arCOG00050	WP_004045371.1	6.3E-101	335.4	E	SpeE	Spermidine synthase	HVO_0255
arCOG00051	WP_004041180.1	2.2E-297	984.9	R	-	Predicted spermidine synthase with an N-terminal membrane domain	HVO_B0357
arCOG00052	WP_004041846.1	3.3E-89	296.9	G	Pgi	Glucose-6-phosphate isomerase	HVO_1967
arCOG00057	WP_004040951.1	1.3E-178	592.9	M	GlmS	Glucosamine 6-phosphate synthetase	HVO_A0594
arCOG00060	WP_004044791.1	3.4E-154	510.7	E	MetC	Cystathionine beta-lyase/cystathionine gamma-synthase	HVO_2946
arCOG00060	WP_004042992.1	2.5E-166	550.6	E	MetC	Cystathionine beta-lyase/cystathionine gamma-synthase	HVO_2750
arCOG00061	WP_004044904.1	8.5E-227	750.6	E	MET17	O-acetylhomoserine sulfhydrylase	HVO_2997
arCOG00061	WP_004044908.1	7.5E-212	701.4	E	MET17	O-acetylhomoserine sulfhydrylase	HVO_2999
arCOG00062	WP_004041188.1	4.5E-42	142.1	O	Nit1	Deaminated glutathione amidase	HVO_B0353
arCOG00062	WP_004043921.1	2E-24	84.4	O	Nit1	Deaminated glutathione amidase	HVO_1021
arCOG00063	WP_004042731.1	2.4E-219	726.9	F	PyrG	CTP synthase (UTP-ammonia lyase)	HVO_2624
arCOG00064	WP_004042483.1	1.3E-121	403.5	E	CarA	Carbamoylphosphate synthase small subunit	HVO_2508
arCOG00065	WP_049914909.1	6.9E-110	366.1	O	csdA	Selenocysteine lyase/Cysteine desulfurase	HVO_0109
arCOG00065	WP_004042471.1	2.2E-51	173.5	O	csdA	Selenocysteine lyase/Cysteine desulfurase	HVO_2503
arCOG00065	WP_004040988.1	1.6E-81	272.8	O	csdA	Selenocysteine lyase/Cysteine desulfurase	HVO_A0635
arCOG00065	WP_004041010.1	3.5E-42	143.2	O	csdA	Selenocysteine lyase/Cysteine desulfurase	HVO_B0146
arCOG00067	WP_004045347.1	7E-85	282.6	F	PrsA	Phosphoribosylpyrophosphate synthetase	HVO_0233
arCOG00069	WP_004041760.1	7.4E-71	236.1	H	NadE	NH3-dependent NAD+ synthetase	HVO_1878
arCOG00070	WP_004041149.1	3.2E-141	468.6	E	GlyA	Glycine/serine hydroxymethyltransferase	HVO_B0004
arCOG00070	WP_004044678.1	1.5E-143	476.3	E	GlyA	Glycine/serine hydroxymethyltransferase	HVO_2862
arCOG00076	WP_004042290.1	1.8E-230	763.3	E	GcvP	Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain	HVO_2401
arCOG00077	WP_004042291.1	4.6E-180	597.1	E	GcvP	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain	HVO_2402
arCOG00078	WP_004041559.1	2.9E-63	210.8	J	NOP1	Fibrillarin-like rRNA methylase	HVO_1669
arCOG00079	WP_004045294.1	1.9E-90	299.5	J	FtsJ	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ	HVO_0180
arCOG00081	WP_004042638.1	9E-54	180	F	PyrF	Orotidine-5'-phosphate decarboxylase	HVO_2577
arCOG00082	WP_004042796.1	3.6E-115	382.4	EF	PucG	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	HVO_2661
arCOG00082	WP_013035552.1	1E-114	380.9	EF	PucG	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	HVO_2671
arCOG00082	WP_004040838.1	8.2E-93	308.8	EF	PucG	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	HVO_A0485
arCOG00085	WP_004042733.1	3.4E-112	372.1	F	GuaA	GMP synthase, PP-ATPase domain/subunit	HVO_2625
arCOG00086	WP_004042365.1	2.4E-65	217.5	E	TrpG	Anthranilate/para-aminobenzoate synthase component II	HVO_2453
arCOG00086	WP_004044227.1	2.2E-68	227.4	E	TrpG	Anthranilate/para-aminobenzoate synthase component II	HVO_0709
arCOG00087	WP_004044289.1	2.9E-27	93.5	F	GuaA	GMP synthase - Glutamine amidotransferase domain	HVO_0647
arCOG00089	WP_004044475.1	2.1E-76	253.8	E	HisH	Glutamine amidotransferase	HVO_0448
arCOG00090	WP_004045322.1	7E-82	272	F	GuaA	GMP synthase - Glutamine amidotransferase domain	HVO_0208
arCOG00090	WP_004044436.1	8.1E-40	134.4	F	GuaA	GMP synthase - Glutamine amidotransferase domain	HVO_0485
arCOG00093	WP_004042925.1	1.3E-141	470	F	PurF	Glutamine phosphoribosylpyrophosphate amidotransferase	HVO_2721
arCOG00099	WP_004043944.1	8.7E-164	542.2	R	Pta	BioD-like N-terminal domain of phosphotransacetylase	HVO_0999
arCOG00102	WP_004042080.1	4.6E-68	227	F	PurL	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	HVO_2188
arCOG00105	WP_004040909.1	2.4E-167	555.2	H	CobQ	Cobyric acid synthase	HVO_A0553
arCOG00106	WP_004040840.1	1.5E-125	417.3	H	CfbB	Cobyrinic acid a,c-diamide synthase, coenzyme F430 biosynthesis enzyme	HVO_A0487
arCOG00109	WP_004042978.1	2.3E-41	139.8	J	HemK	Methylase of polypeptide chain release factors	HVO_2744
arCOG00112	WP_004045062.1	5.5E-165	546.7	E	ArgG	Argininosuccinate synthase	HVO_0049
arCOG00113	WP_004045358.1	4.5E-62	207.9	H	BioF	7-keto-8-aminopelargonate synthetase or related enzyme	HVO_0243
arCOG00115	WP_004044142.1	1.6E-38	130.7	L	-	DNA modification methylase	HVO_0794
arCOG00117	WP_004044328.1	2.5E-65	217.4	H	MenG	Demethylmenaquinone methyltransferase	HVO_0606
arCOG00118	WP_004043138.1	1.8E-111	370.5	M	WecE	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis	HVO_A0217
arCOG00121	WP_004043891.1	0.0000039	23.9	E	AsnB	Asparagine synthase (glutamine-hydrolyzing)	HVO_1050
arCOG00121	WP_004043124.1	2.4E-114	381.2	E	AsnB	Asparagine synthase (glutamine-hydrolyzing)	HVO_A0200
arCOG00130	WP_013034932.1	2.3E-55	185.6	G	-	MFS family permease	HVO_B0251
arCOG00130	WP_004040912.1	2.7E-50	168.9	G	-	MFS family permease	HVO_A0554
arCOG00130	WP_004041576.1	2.3E-59	198.8	G	-	MFS family permease	HVO_1686
arCOG00130	WP_004043684.1	4.3E-58	194.6	G	-	MFS family permease	HVO_1255
arCOG00130	WP_004044693.1	6.6E-61	203.8	G	-	MFS family permease	HVO_2877
arCOG00130	WP_081442863.1	3E-49	165.4	G	-	MFS family permease	HVO_B0335
arCOG00130	WP_004043949.1	1.2E-65	219.4	G	-	MFS family permease	HVO_0994
arCOG00130	WP_004040962.1	4.5E-68	227.4	G	-	MFS family permease	HVO_A0606
arCOG00130	WP_004043659.1	5.7E-69	230.4	G	-	MFS family permease	HVO_1280
arCOG00130	WP_004044490.1	3.3E-58	194.9	G	-	MFS family permease	HVO_0434
arCOG00130	WP_004043702.1	6.3E-51	171	G	-	MFS family permease	HVO_1239
arCOG00130	WP_004041981.1	7.4E-49	164.2	G	-	MFS family permease	HVO_2097
arCOG00131	WP_004043716.1	1.3E-27	94.5	G	-	MFS family permease	HVO_1226
arCOG00132	WP_004042640.1	1E-73	246.3	G	-	MFS family permease	HVO_2578
arCOG00134	WP_004045122.1	2.5E-40	136.3	G	-	MFS family permease	HVO_0075
arCOG00134	WP_013035427.1	5.9E-67	223.9	G	-	MFS family permease	HVO_1349
arCOG00134	WP_004044178.1	1.1E-75	252.7	G	-	MFS family permease	HVO_0759
arCOG00134	WP_004040924.1	6.3E-68	227.1	G	-	MFS family permease	HVO_A0565
arCOG00147	WP_081442866.1	2.6E-15	53.5	G	-	MFS family permease	---
arCOG00148	WP_004041598.1	2.7E-106	353.5	P	NarK	Nitrate/nitrite transporter	HVO_1709
arCOG00150	WP_004044400.1	1.5E-129	430.9	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_0530
arCOG00150	WP_004041121.1	1.5E-128	427.6	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_B0034
arCOG00151	WP_004042880.1	6.8E-105	349.5	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_2695
arCOG00151	WP_004041308.1	1.7E-87	292.2	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_B0228
arCOG00151	WP_004041049.1	1.3E-64	216.8	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_B0106
arCOG00151	WP_004040847.1	3.9E-51	172.3	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_A0494
arCOG00151	WP_013035226.1	5E-112	373	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_A0148
arCOG00151	WP_081442892.1	0.000000026	31.2	G	UgpB	ABC-type sugar transport system, periplasmic component	---
arCOG00151	WP_004043198.1	1.1E-94	315.8	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_A0283
arCOG00151	WP_049941507.1	2E-49	166.7	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_2113
arCOG00151	WP_004041501.1	0.000028	21.2	G	UgpB	ABC-type sugar transport system, periplasmic component	HVO_1609
arCOG00153	WP_004042109.1	3E-116	387	G	UgpB	ABC-type trehalose transport system, periplasmic component	HVO_2220
arCOG00153	WP_004041247.1	2.1E-140	466.6	G	UgpB	ABC-type trehalose transport system, periplasmic component	HVO_B0292
arCOG00154	WP_004044369.1	3.3E-122	406.2	G	MalE	Maltose-binding periplasmic protein	HVO_0564
arCOG00157	WP_004044370.1	2.6E-84	280.6	G	UgpA	ABC-type sugar transport system, permease component	HVO_0563
arCOG00157	WP_004041048.1	7.3E-57	190.5	G	UgpA	ABC-type sugar transport system, permease component	HVO_B0107
arCOG00157	WP_004040846.1	8.8E-59	196.8	G	UgpA	ABC-type sugar transport system, permease component	HVO_A0493
arCOG00157	WP_006600104.1	2.2E-72	241.4	G	UgpA	ABC-type sugar transport system, permease component	HVO_B0229
arCOG00157	WP_013035569.1	1.4E-58	196.1	G	UgpA	ABC-type sugar transport system, permease component	HVO_2116
arCOG00157	WP_004041120.1	4.5E-62	207.6	G	UgpA	ABC-type sugar transport system, permease component	HVO_B0035
arCOG00157	WP_013035206.1	6.4E-73	243.2	G	UgpA	ABC-type sugar transport system, permease component	HVO_A0284
arCOG00157	WP_004041347.1	1.4E-38	130.5	G	UgpA	ABC-type sugar transport system, permease component	HVO_B0188
arCOG00157	WP_013035506.1	8E-66	219.9	G	UgpA	ABC-type sugar transport system, permease component	HVO_2694
arCOG00157	WP_004044399.1	7.5E-69	229.8	G	UgpA	ABC-type sugar transport system, permease component	HVO_0531
arCOG00157	WP_013035223.1	2.8E-66	221.4	G	UgpA	ABC-type sugar transport system, permease component	HVO_A0147
arCOG00157	WP_004041246.1	3.4E-61	204.7	G	UgpA	ABC-type sugar transport system, permease component	HVO_B0293
arCOG00159	WP_004041119.1	4.7E-54	181.2	G	UgpE	ABC-type sugar transport system, permease component	HVO_B0036
arCOG00159	WP_004043075.1	1.6E-70	235.2	G	UgpE	ABC-type sugar transport system, permease component	HVO_A0146
arCOG00159	WP_013035053.1	6.1E-62	207.1	G	UgpE	ABC-type sugar transport system, permease component	HVO_A0285
arCOG00159	WP_004041306.1	2.4E-53	178.9	G	UgpE	ABC-type sugar transport system, permease component	HVO_B0230
arCOG00159	WP_004041245.1	5.3E-53	177.7	G	UgpE	ABC-type sugar transport system, permease component	HVO_B0294
arCOG00159	WP_004040845.1	1.4E-54	182.9	G	UgpE	ABC-type sugar transport system, permease component	HVO_A0492
arCOG00159	WP_004042875.1	9.5E-73	242.5	G	UgpE	ABC-type sugar transport system, permease component	HVO_2693
arCOG00159	WP_004042001.1	7.9E-58	193.6	G	UgpE	ABC-type sugar transport system, permease component	HVO_2117
arCOG00159	WP_004041047.1	4.9E-53	177.8	G	UgpE	ABC-type sugar transport system, permease component	HVO_B0108
arCOG00159	WP_004044398.1	1.1E-55	186.6	G	UgpE	ABC-type sugar transport system, permease component	HVO_0532
arCOG00160	WP_004044371.1	2.9E-121	402.2	G	MalG	ABC-type maltose transport system, permease component	HVO_0562
arCOG00161	WP_004043216.1	4.8E-72	240.2	E	PotB	ABC-type spermidine/putrescine transport system, permease component I	HVO_A0300
arCOG00162	WP_004043213.1	1.8E-70	235	E	PotC	ABC-type spermidine/putrescine transport system, permease component II	HVO_A0297
arCOG00163	WP_004045002.1	7E-111	369.1	P	ThiP	ABC-type Fe3+ transport system, permease component	HVO_0021
arCOG00163	WP_004041595.1	4.4E-105	350	P	ThiP	ABC-type Fe3+ transport system, permease component	HVO_1706
arCOG00163	WP_049914740.1	1.2E-65	219.9	P	ThiP	ABC-type Fe3+ transport system, permease component	HVO_B0189
arCOG00164	WP_004041164.1	2E-58	195.2	O	CysU	ABC-type sulfate transport system, permease component	HVO_B0370
arCOG00166	WP_004041768.1	3.3E-85	282.7	P	TupA	ABC-type tungstate transport system, periplasmic component	HVO_1887
arCOG00167	WP_004040833.1	2.8E-79	264	P	PstC	ABC-type phosphate transport system, permease component	HVO_A0478
arCOG00167	WP_004042265.1	1.3E-82	275	P	PstC	ABC-type phosphate transport system, permease component	HVO_2376
arCOG00168	WP_004042266.1	2.7E-65	218.5	P	PstA	ABC-type phosphate transport system, permease component	HVO_2377
arCOG00168	WP_004040834.1	1.2E-83	278.8	P	PstA	ABC-type phosphate transport system, permease component	HVO_A0479
arCOG00169	WP_004041494.1	1.6E-82	274.4	P	TauC	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	HVO_1602
arCOG00173	WP_004044479.1	3.7E-106	352.4	P	PhnE	ABC-type phosphate/phosphonate transport system, permease component	HVO_0445
arCOG00173	WP_004040814.1	2.8E-83	277.3	P	PhnE	ABC-type phosphate/phosphonate transport system, permease component	HVO_A0460
arCOG00173	WP_004040815.1	4.2E-90	299.7	P	PhnE	ABC-type phosphate/phosphonate transport system, permease component	HVO_A0461
arCOG00177	WP_004041345.1	8E-100	331.8	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_B0190
arCOG00177	WP_004041596.1	1.3E-118	393.5	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_1707
arCOG00177	WP_004043209.1	3.5E-99	329.7	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_A0294
arCOG00177	WP_004041046.1	8.2E-112	371.2	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_B0109
arCOG00177	WP_013035128.1	7.7E-128	423.9	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_A0281
arCOG00177	WP_004042002.1	1.8E-116	386.5	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_2118
arCOG00177	WP_004040844.1	8.1E-111	367.9	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_A0491
arCOG00177	WP_004044368.1	1.5E-124	413.1	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_0565
arCOG00177	WP_004045000.1	8E-124	410.7	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_0020
arCOG00177	WP_013035147.1	1E-92	308.4	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_A0293
arCOG00177	WP_004043074.1	3.4E-127	421.8	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_A0145
arCOG00177	WP_004041244.1	1.6E-122	406.4	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_B0295
arCOG00177	WP_004042874.1	2.9E-130	431.9	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_2692
arCOG00177	WP_013034948.1	2.5E-119	395.9	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_B0227
arCOG00177	WP_004044397.1	1.7E-127	422.7	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_0534
arCOG00177	WP_004041118.1	1.1E-124	413.5	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_B0037
arCOG00177	WP_004041117.1	2.1E-125	415.9	E	PotA	ABC-type spermidine/putrescine transport system, ATPase component	HVO_B0038
arCOG00181	WP_013035217.1	2.3E-132	438.5	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_A0426
arCOG00181	WP_004043284.1	1.4E-114	380.1	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_A0383
arCOG00181	WP_004043249.1	2.1E-237	783.6	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_A0336
arCOG00181	WP_004041076.1	3E-118	392.1	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_B0079
arCOG00181	WP_004045086.1	4.6E-150	496.7	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_0059
arCOG00181	WP_004041211.1	4.2E-108	358.8	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_B0331
arCOG00181	WP_004041065.1	3.4E-105	349.2	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_B0090
arCOG00181	WP_004042007.1	2.6E-150	497.4	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_2123
arCOG00181	WP_004042340.1	5E-134	444	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_2443
arCOG00181	WP_004041130.1	6E-201	663.8	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_B0024
arCOG00181	WP_004041650.1	3.5E-76	253.9	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_1768
arCOG00181	WP_004041031.1	2.5E-132	438.4	E	DppD	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	HVO_B0125
arCOG00184	WP_004041651.1	2.1E-129	428.7	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_1769
arCOG00184	WP_004041210.1	1.3E-104	347.3	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_B0332
arCOG00184	WP_004043285.1	2E-127	422.2	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_A0384
arCOG00184	WP_004041077.1	2.2E-127	422.1	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_B0078
arCOG00184	WP_013035311.1	1.1E-255	843.8	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_0627
arCOG00184	WP_004042006.1	5.6E-145	479.9	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_2122
arCOG00184	WP_004041066.1	1.7E-107	356.7	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_B0089
arCOG00184	WP_013035693.1	1E-217	718.9	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_C0074
arCOG00184	WP_013035189.1	5.9E-130	430.5	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_A0425
arCOG00184	WP_004045083.1	3.5E-149	493.7	E	AppF	ABC-type oligopeptide transport system, ATPase component	HVO_0058
arCOG00186	WP_004043538.1	7.5E-230	761	R	-	ABC-type uncharacterized transport system, ATPase component	HVO_1400
arCOG00186	WP_004041226.1	3.3E-214	709.4	R	-	ABC-type uncharacterized transport system, ATPase component	HVO_B0316
arCOG00186	WP_004041917.1	6.3E-208	688.7	R	-	ABC-type uncharacterized transport system, ATPase component	HVO_2032
arCOG00187	WP_004044500.1	8.2E-230	762.1	J	Rli1	Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains	HVO_0424
arCOG00193	WP_004041493.1	5.3E-84	278.7	P	TauB	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	HVO_1601
arCOG00194	WP_004043237.1	6.7E-84	279.1	V	CcmA	ABC-type multidrug transport system, ATPase component	HVO_A0323
arCOG00194	WP_004044047.1	4.6E-59	197.8	V	CcmA	ABC-type multidrug transport system, ATPase component	HVO_0891
arCOG00194	WP_004044914.1	5.2E-92	305.7	V	CcmA	ABC-type multidrug transport system, ATPase component	HVO_3002
arCOG00196	WP_004043492.1	4.7E-84	280	V	CcmA	ABC-type multidrug transport system, ATPase component	HVO_1443
arCOG00196	WP_004041022.1	1.9E-75	251.8	V	CcmA	ABC-type multidrug transport system, ATPase component	HVO_B0134
arCOG00196	WP_004043937.1	1.1E-80	268.9	V	CcmA	ABC-type multidrug transport system, ATPase component	HVO_1006
arCOG00196	WP_004043104.1	3.3E-77	257.5	V	CcmA	ABC-type multidrug transport system, ATPase component	HVO_A0177
arCOG00196	WP_004041867.1	1.9E-102	340.4	V	CcmA	ABC-type multidrug transport system, ATPase component	HVO_1985
arCOG00199	WP_049914765.1	1.5E-77	259.1	P	FepC	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	HVO_1760
arCOG00199	WP_004043825.1	1.8E-177	588.1	P	FepC	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component	HVO_1112
arCOG00201	WP_004042287.1	3.5E-101	335.6	P	ZnuC	ABC-type Mn/Zn transport system, ATPase component	HVO_2398
arCOG00201	WP_004040966.1	3.5E-98	325.8	P	ZnuC	ABC-type Mn/Zn transport system, ATPase component	HVO_A0610
arCOG00203	WP_004042294.1	3.6E-63	211.5	P	EcfA2	Energy-coupling factor transporter ATP-binding protein EcfA2	HVO_2405
arCOG00203	WP_004041358.1	1.9E-103	344	P	EcfA2	Energy-coupling factor transporter ATP-binding protein EcfA2	HVO_B0177
arCOG00203	WP_004045331.1	5.1E-62	207.7	P	EcfA2	Energy-coupling factor transporter ATP-binding protein EcfA2	HVO_0217
arCOG00206	WP_004044478.1	1.7E-102	340	P	PhnC	ABC-type phosphate/phosphonate transport system, ATPase component	HVO_0446
arCOG00213	WP_004042264.1	1.6E-55	186.4	P	PstS	ABC-type phosphate transport system, periplasmic component	HVO_2375
arCOG00213	WP_004040832.1	6.6E-54	181.1	P	PstS	ABC-type phosphate transport system, periplasmic component	HVO_A0477
arCOG00214	WP_004042766.1	5.5E-54	180	H	MoaB	Molybdopterin biosynthesis enzyme	HVO_2645
arCOG00215	WP_004044636.1	1.6E-91	303.8	R	CinA	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA	HVO_0286
arCOG00215	WP_004043764.1	6.5E-81	269.1	R	CinA	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA	HVO_1177
arCOG00216	WP_004042197.1	2.6E-108	360.1	H	MoeA	Molybdopterin biosynthesis enzyme	HVO_2304
arCOG00219	WP_004041165.1	1.6E-37	127.5	P	ModA	ABC-type molybdate transport system, periplasmic component	HVO_B0369
