locus_tag	dbxref	ncbi_id	genomic_accession	feature	start	stop	strand	gene	gbkey	gene_biotype	old_locus_tag	length	protein	thane_gene	thane_gene_description	gene_name	kegg1	kegg2	kegg3	pathway	kegg_prot	kegg_id	definition	keggidprot	Gene.Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	cog	arcog	chr
HVO_RS00095	8919171	lcl|NC_013964.1_cds_WP_004041133.1_107	NC_013964.1	gene	20888	22756	+	106	Gene	protein_coding	HVO_B0021	1868	peptide ABC transporter substrate-binding protein			dppA10	NA	NA	NA	NA	NA	NA	NA	NA: NA	ABC transporter substrate-binding protein(HVO_RS00095)	Haloferax volcanii DS2					IPR000914:Bacterial extracellular solute-binding protein, family 5		HVO_RS00095	PF00496:Bacterial extracellular solute-binding proteins, family 5 Middle			Complete proteome,Plasmid,Reference proteome,	COG0747E	arCOG01534	pHV3
HVO_RS00100	8919081	lcl|NC_013964.1_cds_WP_049914703.1_108	NC_013964.1	gene	22808	23803	+	107	Gene	protein_coding	HVO_B0022	995	ABC transporter permease			dppB10	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	dppB10; ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides)	K02033	ABC.PE.P; peptide/nickel transport system permease protein	K02033: dppB10; ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides)	ABC transporter permease(HVO_RS00100)	Haloferax volcanii DS2							HVO_RS00100,					COG0601EP	arCOG00751	pHV3
HVO_RS00105	8919345	lcl|NC_013964.1_cds_WP_004041131.1_109	NC_013964.1	gene	23800	24720	+	108	Gene	protein_coding	HVO_B0023	920	peptide ABC transporter permease			dppC10	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	dppC10; ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides)	K02034	ABC.PE.P1; peptide/nickel transport system permease protein	K02034: dppC10; ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides)	peptide ABC transporter permease(HVO_RS00105)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component,IPR025966:Oligopeptide transport permease C-like, N-terminal domain		HVO_RS00105	PF00528:Binding-protein-dependent transport system inner membrane component,PF12911:N-terminal TM domain of oligopeptide transport permease C			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	COG1173EP	arCOG00748	pHV3
HVO_RS00110	8919222	lcl|NC_013964.1_cds_WP_004041130.1_110	NC_013964.1	gene	24717	26834	+	109	Gene	protein_coding	HVO_B0024	2117	ABC transporter ATP-binding protein			dppDF10	Environmental Information Processing	Cellular community - prokaryotes	02024 Quorum sensing 	[PATH:hvo02024]	dppDF10; ABC-type transport system ATP-binding protein (probable substrate dipeptides/oligopeptides)	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	K02031: dppDF10; ABC-type transport system ATP-binding protein (probable substrate dipeptides/oligopeptides)	ABC transporter ATP-binding protein(HVO_RS00110)	Haloferax volcanii DS2		GO:0015833~peptide transport		GO:0005524~ATP binding,GO:0016887~ATPase activity	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR013563:Oligopeptide/dipeptide ABC transporter, C-terminal,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS00110	PF00005:ABC transporter,PF08352:Oligopeptide/dipeptide transporter, C-terminal region		SM00382:AAA	ATP-binding,Complete proteome,Nucleotide-binding,Plasmid,Reference proteome,	COG0444EP	arCOG00181	pHV3
HVO_RS00115	8919234	lcl|NC_013964.1_cds_WP_004041129.1_111	NC_013964.1	gene	27220	28260	-	110	Gene	protein_coding	HVO_B0025	1040	alcohol dehydrogenase				NA	NA	NA	NA	NA	NA	NA	NA: NA	alcohol dehydrogenase(HVO_RS00115)	Haloferax volcanii DS2				GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity	IPR002085:Alcohol dehydrogenase superfamily, zinc-type,IPR002328:Alcohol dehydrogenase, zinc-type, conserved site,IPR011032:GroES-like,IPR013149:Alcohol dehydrogenase, C-terminal,IPR013154:Alcohol dehydrogenase GroES-like,IPR016040:NAD(P)-binding domain,IPR020843:Polyketide synthase, enoylreductase		HVO_RS00115	PF00107:Zinc-binding dehydrogenase,PF08240:Alcohol dehydrogenase GroES-like domain		SM00829:SM00829	Complete proteome,Metal-binding,Plasmid,Reference proteome,Zinc,	COG1063ER	arCOG01459	pHV3
HVO_RS00120	8919363	lcl|NC_013964.1_cds_WP_004041128.1_112	NC_013964.1	gene	28359	29132	+	111	Gene	protein_coding	HVO_B0026	773	short-chain dehydrogenase				NA	NA	NA	NA	NA	NA	NA	NA: NA	short-chain dehydrogenase(HVO_RS00120)	Haloferax volcanii DS2	1.1.1.-			GO:0016491~oxidoreductase activity	IPR002347:Glucose/ribitol dehydrogenase,IPR016040:NAD(P)-binding domain		HVO_RS00120				Complete proteome,Oxidoreductase,Plasmid,Reference proteome,	COG1028IQR	arCOG01259	pHV3
HVO_RS00125	8919100	lcl|NC_013964.1_cds_WP_004061785.1_113	NC_013964.1	gene	29918	30787	+	112	Gene	protein_coding	HVO_B0027	869	fumarylacetoacetate hydrolase				Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions 	[PATH:hvo00040]	2-keto-3-deoxyxylonate dehydratase	K14259	kdxD; 2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141]	K14259: 2-keto-3-deoxyxylonate dehydratase	fumarylacetoacetate hydrolase(HVO_RS00125)	Haloferax volcanii DS2	4.2.1.141	GO:0042843~D-xylose catabolic process		GO:0016829~lyase activity,GO:0046872~metal ion binding	IPR011234:Fumarylacetoacetase, C-terminal-related	hvo00040:Pentose and glucuronate interconversions	HVO_RS00125	PF01557:Fumarylacetoacetate (FAA) hydrolase family			Carbohydrate metabolism,Complete proteome,Lyase,Metal-binding,Plasmid,Reference proteome,	COG3970R	arCOG00236	pHV3
HVO_RS00130	8919161	lcl|NC_013964.1_cds_WP_004041126.1_114	NC_013964.1	gene	30784	31956	+	113	Gene	protein_coding	HVO_B0028	1172	glucose-fructose oxidoreductase				Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions 	[PATH:hvo00040]	xylose dehydrogenase (NAD/NADP)	K14273	xdh; D-xylose 1-dehydrogenase (NADP+) [EC:1.1.1.179]	K14273: xylose dehydrogenase (NAD/NADP)	glucose-fructose oxidoreductase(HVO_RS00130)	Haloferax volcanii DS2	1.1.1.179		GO:0005576~extracellular region	GO:0047837~D-xylose 1-dehydrogenase (NADP+) activity	IPR000683:Oxidoreductase, N-terminal,IPR016040:NAD(P)-binding domain	hvo00040:Pentose and glucuronate interconversions	HVO_RS00130	PF01408:Oxidoreductase family, NAD-binding Rossmann fold			Complete proteome,NADP,Oxidoreductase,Plasmid,Reference proteome,Secreted,Signal,	COG0673R	arCOG01622	pHV3
HVO_RS00135	8919277	lcl|NC_013964.1_cds_WP_004041125.1_115	NC_013964.1	gene	32017	32994	+	114	Gene	protein_coding	HVO_B0029	977	glucose-fructose oxidoreductase				NA	NA	NA	NA	NA	NA	NA	NA: NA	glucose-fructose oxidoreductase(HVO_RS00135)	Haloferax volcanii DS2	1.1.1.179		GO:0005576~extracellular region	GO:0047837~D-xylose 1-dehydrogenase (NADP+) activity	IPR000683:Oxidoreductase, N-terminal,IPR016040:NAD(P)-binding domain		HVO_RS00135	PF01408:Oxidoreductase family, NAD-binding Rossmann fold			Complete proteome,NADP,Oxidoreductase,Plasmid,Reference proteome,Secreted,Signal,	COG0673R	arCOG01622	pHV3
HVO_RS00140	8919047	lcl|NC_013964.1_cds_WP_004041124.1_116	NC_013964.1	gene	33019	33894	-	115	Gene	protein_coding	HVO_B0030	875	gluconolaconase				Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions 	[PATH:hvo00040]	probable D-xylonolactonase	K14274	xylC; xylonolactonase [EC:3.1.1.-]	K14274: probable D-xylonolactonase	gluconolaconase(HVO_RS00140)	Haloferax volcanii DS2					IPR005511:Senescence marker protein-30 (SMP-30),IPR011042:Six-bladed beta-propeller, TolB-like,IPR013658:SMP-30/Gluconolaconase/LRE-like region	hvo00040:Pentose and glucuronate interconversions	HVO_RS00140	PF08450:SMP-30/Gluconolaconase/LRE-like region			Complete proteome,Plasmid,Reference proteome,	COG3386G	arCOG05370	pHV3
HVO_RS00145	8919218	lcl|NC_013964.1_cds_WP_049914725.1_117	NC_013964.1	gene	34036	34776	-	116	Gene	protein_coding	HVO_B0031	740	short-chain dehydrogenase				NA	NA	NA	NA	NA	NA	NA	NA: NA	short-chain dehydrogenase(HVO_RS00145)	Haloferax volcanii DS2							HVO_RS00145,					COG4221R	arCOG01265	pHV3
HVO_RS00150	8919002	lcl|NC_013964.1_cds_WP_004041122.1_118	NC_013964.1	gene	34897	35661	+	117	Gene	protein_coding	HVO_B0032	764	epimerase				Metabolism	Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism 	[PATH:hvo00053]	sugar epimerase/dehydratase homolog	K19660	araDH; L-arabinose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.376]	K19660: sugar epimerase/dehydratase homolog	epimerase(HVO_RS00150)	Haloferax volcanii DS2	1.1.1.376	GO:0019570~L-arabinose catabolic process to 2-oxoglutarate,GO:0019572~L-arabinose catabolic process		GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,GO:0050662~coenzyme binding	IPR001509:NAD-dependent epimerase/dehydratase,IPR016040:NAD(P)-binding domain		HVO_RS00150	PF01370:NAD dependent epimerase/dehydratase family			Arabinose catabolism,Carbohydrate metabolism,Complete proteome,Direct protein sequencing,NAD,NADP,Oxidoreductase,Plasmid,Reference proteome,	COG0451MG	arCOG04704	pHV3
HVO_RS00155	8919348	lcl|NC_013964.1_cds_WP_004041121.1_120	NC_013964.1	gene	35981	37297	+	119	Gene	protein_coding	HVO_B0034	1316	sugar ABC transporter substrate-binding protein			tsgA7	Environmental Information Processing	Membrane transport	02010 ABC transporters 	[PATH:hvo02010]	tsgA7; ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)	K17315	gtsA; glucose/mannose transport system substrate-binding protein	K17315: tsgA7; ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)	ABC transporter substrate-binding protein(HVO_RS00155)	Haloferax volcanii DS2						hvo02010:ABC transporters	HVO_RS00155				Complete proteome,	COG1653G	arCOG00150	pHV3
HVO_RS00160	8919131	lcl|NC_013964.1_cds_WP_004041120.1_121	NC_013964.1	gene	37352	38305	+	120	Gene	protein_coding	HVO_B0035	953	ABC transporter permease			tsgB7	Environmental Information Processing	Membrane transport	02010 ABC transporters 	[PATH:hvo02010]	tsgB7; ABC-type transport system permease protein (probable substrate sugar)	K17316	gtsB; glucose/mannose transport system permease protein	K17316: tsgB7; ABC-type transport system permease protein (probable substrate sugar)	ABC transporter permease(HVO_RS00160)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component	hvo02010:ABC transporters	HVO_RS00160	PF00528:Binding-protein-dependent transport system inner membrane component			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	COG1175G	arCOG00157	pHV3
HVO_RS00165	8919031	lcl|NC_013964.1_cds_WP_004041119.1_122	NC_013964.1	gene	38308	39237	+	121	Gene	protein_coding	HVO_B0036	929	ABC transporter permease			tsgC7	Environmental Information Processing	Membrane transport	02010 ABC transporters 	[PATH:hvo02010]	tsgC7; ABC-type transport system permease protein (probable substrate sugar)	K17317	gtsC; glucose/mannose transport system permease protein	K17317: tsgC7; ABC-type transport system permease protein (probable substrate sugar)	ABC transporter permease(HVO_RS00165)	Haloferax volcanii DS2		GO:0006810~transport	GO:0005886~plasma membrane,GO:0016021~integral component of membrane		IPR000515:Binding-protein-dependent transport systems inner membrane component	hvo02010:ABC transporters	HVO_RS00165	PF00528:Binding-protein-dependent transport system inner membrane component			Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,Transport,	COG0395G	arCOG00159	pHV3
HVO_RS00170	8919354	lcl|NC_013964.1_cds_WP_004041118.1_123	NC_013964.1	gene	39241	40392	+	122	Gene	protein_coding	HVO_B0037	1151	ABC transporter ATP-binding protein			tsgE7	Environmental Information Processing	Membrane transport	02010 ABC transporters 	[PATH:hvo02010]	tsgE7; ABC-type transport system ATP-binding protein (probable substrate sugar)	K10112	msmX; multiple sugar transport system ATP-binding protein	K10112: tsgE7; ABC-type transport system ATP-binding protein (probable substrate sugar)	ABC transporter ATP-binding protein(HVO_RS00170)	Haloferax volcanii DS2			GO:0043190~ATP-binding cassette (ABC) transporter complex	GO:0005524~ATP binding,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR008995:Molybdate/tungstate binding, C-terminal,IPR013611:Transport-associated OB, type 2,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase	hvo02010:ABC transporters	HVO_RS00170	PF00005:ABC transporter,PF08402:TOBE domain		SM00382:AAA	ATP-binding,Complete proteome,Nucleotide-binding,Plasmid,Reference proteome,	COG3839G	arCOG00177	pHV3
