ID	Gene Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS
8923889	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase(HVO_RS09980)	Haloferax volcanii DS2	2.3.1.117	GO:0009089~lysine biosynthetic process via diaminopimelate		GO:0008666~2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	IPR001451:Bacterial transferase hexapeptide repeat,IPR005664:Tetrahydrodipicolinate N-succinyltransferase, transferase hexapeptide repeat family,IPR011004:Trimeric LpxA-like,IPR023180:Tetrahydrodipicolinate-N-succinyltransferase, chain A, domain 1	hvo00300:Lysine biosynthesis,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01230:Biosynthesis of amino acids	HVO_RS09980	PF00132:Bacterial transferase hexapeptide (six repeats),PF14805:Tetrahydrodipicolinate N-succinyltransferase N-terminal			Acyltransferase,Complete proteome,Reference proteome,Transferase,
8924310	2,3-bisphosphoglycerate-independent phosphoglycerate mutase(HVO_RS16840)	Haloferax volcanii DS2	5.4.2.12	GO:0006007~glucose catabolic process,GO:0006096~glycolytic process	GO:0005737~cytoplasm	GO:0030145~manganese ion binding,GO:0046537~2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	IPR005995:Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent,IPR006124:Metalloenzyme,IPR011258:BPG-independent PGAM, N-terminal,IPR017849:Alkaline phosphatase-like, alpha/beta/alpha,IPR017850:Alkaline-phosphatase-like, core domain	hvo00010:Glycolysis / Gluconeogenesis,hvo00260:Glycine, serine and threonine metabolism,hvo00680:Methane metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01120:Microbial metabolism in diverse environments,hvo01130:Biosynthesis of antibiotics,hvo01200:Carbon metabolism,hvo01230:Biosynthesis of amino acids	HVO_RS16840	PF01676:Metalloenzyme superfamily,PF06415:BPG-independent PGAM N-terminus (iPGM_N)	PIRSF001492:cofactor-independent phosphoglycerate mutase		Complete proteome,Glycolysis,Isomerase,Manganese,Metal-binding,Reference proteome,
8919259	2,4-diaminobutyrate decarboxylase(HVO_RS00215)	Haloferax volcanii DS2		GO:0019752~carboxylic acid metabolic process		GO:0016831~carboxy-lyase activity,GO:0030170~pyridoxal phosphate binding	IPR002129:Pyridoxal phosphate-dependent decarboxylase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,IPR021115:Pyridoxal-phosphate binding site	hvo00260:Glycine, serine and threonine metabolism,hvo01120:Microbial metabolism in diverse environments	HVO_RS00215	PF00282:Pyridoxal-dependent decarboxylase conserved domain			Complete proteome,Lyase,Plasmid,Pyridoxal phosphate,Reference proteome,
8923641	2-dehydro-3-deoxy-phosphogluconate aldolase(HVO_RS03325)	Haloferax volcanii DS2	4.1.2.14	GO:0008152~metabolic process		GO:0008675~2-dehydro-3-deoxy-phosphogluconate aldolase activity	IPR000887:KDPG/KHG aldolase,IPR013785:Aldolase-type TIM barrel	hvo00030:Pentose phosphate pathway,hvo00630:Glyoxylate and dicarboxylate metabolism,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS03325	PF01081:KDPG and KHG aldolase			Complete proteome,Lyase,Plasmid,Reference proteome,
8925994	2-dehydro-3-deoxy-phosphogluconate aldolase(HVO_RS09250)	Haloferax volcanii DS2	4.1.2.14	GO:0008152~metabolic process		GO:0008675~2-dehydro-3-deoxy-phosphogluconate aldolase activity	IPR000887:KDPG/KHG aldolase,IPR013785:Aldolase-type TIM barrel	hvo00030:Pentose phosphate pathway,hvo00630:Glyoxylate and dicarboxylate metabolism,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS09250	PF01081:KDPG and KHG aldolase			Complete proteome,Lyase,Reference proteome,
8923673	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase(HVO_RS03140)	Haloferax volcanii DS2		GO:0008152~metabolic process		GO:0016829~lyase activity	IPR000887:KDPG/KHG aldolase,IPR013785:Aldolase-type TIM barrel	hvo00030:Pentose phosphate pathway,hvo00630:Glyoxylate and dicarboxylate metabolism,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS03140	PF01081:KDPG and KHG aldolase			Complete proteome,
8923937	2-dehydropantoate 2-reductase(HVO_RS05025)	Haloferax volcanii DS2	1.1.1.169	GO:0015940~pantothenate biosynthetic process	GO:0005737~cytoplasm	GO:0008677~2-dehydropantoate 2-reductase activity,GO:0050661~NADP binding	IPR003710:Ketopantoate reductase ApbA/PanE,IPR008927:6-phosphogluconate dehydrogenase, C-terminal-like,IPR013328:Dehydrogenase, multihelical,IPR013332:Ketopantoate reductase ApbA/PanE, N-terminal,IPR013752:Ketopantoate reductase ApbA/PanE, C-terminal,IPR016040:NAD(P)-binding domain	hvo00770:Pantothenate and CoA biosynthesis,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites	HVO_RS05025	PF02558:Ketopantoate reductase PanE/ApbA,PF08546:Ketopantoate reductase PanE/ApbA C terminal			Complete proteome,NADP,Oxidoreductase,Pantothenate biosynthesis,Reference proteome,
8924618	2-deoxyribose-5-phosphate aldolase(HVO_RS17300)	Haloferax volcanii DS2	4.1.2.4	GO:0009264~deoxyribonucleotide catabolic process,GO:0016052~carbohydrate catabolic process,GO:0046386~deoxyribose phosphate catabolic process	GO:0005737~cytoplasm	GO:0004139~deoxyribose-phosphate aldolase activity	IPR002915:DeoC/FbaB/ lacD aldolase,IPR011343:Deoxyribose-phosphate aldolase,IPR013785:Aldolase-type TIM barrel	hvo00030:Pentose phosphate pathway	HVO_RS17300	PF01791:DeoC/LacD family aldolase	PIRSF001357:deoxyribose-phosphate aldolase	SM01133:SM01133	Complete proteome,Cytoplasm,Lyase,Reference proteome,Schiff base,
8919338	2-hydroxyacid dehydrogenase(HVO_RS01285)	Haloferax volcanii DS2	1.1.1.95			GO:0004617~phosphoglycerate dehydrogenase activity,GO:0051287~NAD binding	IPR006139:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain,IPR006140:D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding,IPR016040:NAD(P)-binding domain		HVO_RS01285	PF00389:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain,PF02826:D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain			Complete proteome,Oxidoreductase,Plasmid,Reference proteome,
8926037	2-hydroxyacid dehydrogenase(HVO_RS05285)	Haloferax volcanii DS2	1.1.1.95			GO:0004617~phosphoglycerate dehydrogenase activity,GO:0051287~NAD binding	IPR006139:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain,IPR006140:D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding,IPR016040:NAD(P)-binding domain		HVO_RS05285	PF00389:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain,PF02826:D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain			Complete proteome,Oxidoreductase,Reference proteome,
8925896	2-hydroxyacid dehydrogenase(HVO_RS17485)	Haloferax volcanii DS2	1.1.1.95			GO:0004617~phosphoglycerate dehydrogenase activity,GO:0051287~NAD binding	IPR006139:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain,IPR006140:D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding,IPR016040:NAD(P)-binding domain		HVO_RS17485	PF00389:D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain,PF02826:D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain			Complete proteome,Oxidoreductase,Reference proteome,
8923304	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase(HVO_RS02270)	Haloferax volcanii DS2		GO:0008152~metabolic process		GO:0016853~isomerase activity	IPR011234:Fumarylacetoacetase, C-terminal-related		HVO_RS02270	PF01557:Fumarylacetoacetate (FAA) hydrolase family			Complete proteome,Isomerase,Plasmid,Reference proteome,
8924347	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase(HVO_RS10905)	Haloferax volcanii DS2		GO:0008152~metabolic process		GO:0016853~isomerase activity	IPR011234:Fumarylacetoacetase, C-terminal-related		HVO_RS10905	PF01557:Fumarylacetoacetate (FAA) hydrolase family			Complete proteome,Isomerase,Reference proteome,
8924534	2-isopropylmalate synthase(HVO_RS11985)	Haloferax volcanii DS2		GO:0019752~carboxylic acid metabolic process		GO:0046912~transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	IPR000891:Pyruvate carboxyltransferase,IPR002034:Alpha-isopropylmalate/homocitrate synthase, conserved site,IPR013785:Aldolase-type TIM barrel	hvo00290:Valine, leucine and isoleucine biosynthesis,hvo00620:Pyruvate metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01210:2-Oxocarboxylic acid metabolism,hvo01230:Biosynthesis of amino acids	HVO_RS11985	PF00682:HMGL-like			Complete proteome,
8923588	2-keto-3-deoxygluconate kinase(HVO_RS03320)	Haloferax volcanii DS2	2.7.1.11			GO:0003872~6-phosphofructokinase activity	IPR011611:Carbohydrate kinase PfkB	hvo00030:Pentose phosphate pathway,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS03320	PF00294:pfkB family carbohydrate kinase			Complete proteome,Kinase,Plasmid,Reference proteome,Transferase,
8924883	2-keto-3-deoxygluconate kinase(HVO_RS07340)	Haloferax volcanii DS2	2.7.1.45	GO:0006014~D-ribose metabolic process		GO:0004747~ribokinase activity,GO:0008673~2-dehydro-3-deoxygluconokinase activity	IPR002139:Ribokinase,IPR011611:Carbohydrate kinase PfkB	hvo00030:Pentose phosphate pathway,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS07340	PF00294:pfkB family carbohydrate kinase			Complete proteome,Kinase,Reference proteome,Transferase,
8924916	2-ketoglutarate ferredoxin oxidoreductase subunit alpha(HVO_RS10985)	Haloferax volcanii DS2	1.2.7.1			GO:0019164~pyruvate synthase activity	IPR002869:Pyruvate-flavodoxin oxidoreductase, central domain,IPR002880:Pyruvate flavodoxin/ferredoxin oxidoreductase, N-terminal,IPR009014:Transketolase, C-terminal/Pyruvate-ferredoxin oxidoreductase, domain II,IPR019752:Pyruvate/ketoisovalerate oxidoreductase, catalytic domain,IPR022367:2-oxoacid:acceptor oxidoreductase, alpha subunit	hvo00010:Glycolysis / Gluconeogenesis,hvo00020:Citrate cycle (TCA cycle),hvo00620:Pyruvate metabolism,hvo00633:Nitrotoluene degradation,hvo00640:Propanoate metabolism,hvo00650:Butanoate metabolism,hvo00680:Methane metabolism,hvo00720:Carbon fixation pathways in prokaryotes,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS10985	PF01558:Pyruvate ferredoxin/flavodoxin oxidoreductase,PF01855:Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg			Complete proteome,Oxidoreductase,Pyruvate,Reference proteome,
8925244	2-ketoglutarate ferredoxin oxidoreductase subunit beta(HVO_RS10980)	Haloferax volcanii DS2	1.2.7.1			GO:0019164~pyruvate synthase activity,GO:0030976~thiamine pyrophosphate binding	IPR011766:Thiamine pyrophosphate enzyme, C-terminal TPP-binding,IPR011896:2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate	hvo00010:Glycolysis / Gluconeogenesis,hvo00020:Citrate cycle (TCA cycle),hvo00620:Pyruvate metabolism,hvo00633:Nitrotoluene degradation,hvo00640:Propanoate metabolism,hvo00650:Butanoate metabolism,hvo00680:Methane metabolism,hvo00720:Carbon fixation pathways in prokaryotes,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS10980	PF02775:Thiamine pyrophosphate enzyme, C-terminal TPP binding domain			Complete proteome,Oxidoreductase,Pyruvate,Reference proteome,
8923286	2-methylcitrate dehydratase(HVO_RS04450)	Haloferax volcanii DS2				GO:0016829~lyase activity	IPR005656:MmgE/PrpD		HVO_RS04450	PF03972:MmgE/PrpD family			Complete proteome,Plasmid,Reference proteome,
8923355	2-methylcitrate dehydratase(HVO_RS04455)	Haloferax volcanii DS2				GO:0016829~lyase activity	IPR005656:MmgE/PrpD		HVO_RS04455	PF03972:MmgE/PrpD family			Complete proteome,Plasmid,Reference proteome,
8924673	2-oxo acid dehydrogenase(HVO_RS15330)	Haloferax volcanii DS2	1.2.4.-			GO:0016624~oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	IPR001017:Dehydrogenase, E1 component	hvo00010:Glycolysis / Gluconeogenesis,hvo00020:Citrate cycle (TCA cycle),hvo00620:Pyruvate metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01120:Microbial metabolism in diverse environments,hvo01130:Biosynthesis of antibiotics,hvo01200:Carbon metabolism	HVO_RS15330	PF00676:Dehydrogenase E1 component			Complete proteome,Oxidoreductase,Reference proteome,
8919056	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase(HVO_RS01455)	Haloferax volcanii DS2	4.1.1.97	GO:0006144~purine nucleobase metabolic process,GO:0019428~allantoin biosynthetic process,GO:0019628~urate catabolic process		GO:0016491~oxidoreductase activity,GO:0016831~carboxy-lyase activity	IPR017580:2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase, type 1,IPR018020:Oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	hvo00230:Purine metabolism,hvo01100:Metabolic pathways	HVO_RS01455	PF09349:OHCU decarboxylase			Complete proteome,Decarboxylase,Lyase,Oxidoreductase,Plasmid,Purine metabolism,Reference proteome,
8925684	2-oxoacid dehydrogenase E1 component subunit alpha(HVO_RS17230)	Haloferax volcanii DS2				GO:0016624~oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	IPR001017:Dehydrogenase, E1 component	hvo00010:Glycolysis / Gluconeogenesis,hvo00020:Citrate cycle (TCA cycle),hvo00620:Pyruvate metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01120:Microbial metabolism in diverse environments,hvo01130:Biosynthesis of antibiotics,hvo01200:Carbon metabolism	HVO_RS17230	PF00676:Dehydrogenase E1 component			Complete proteome,
8926204	2-oxoacid ferredoxin oxidoreductase subunit beta(HVO_RS08950)	Haloferax volcanii DS2	1.2.7.3			GO:0030976~thiamine pyrophosphate binding,GO:0047553~2-oxoglutarate synthase activity	IPR011766:Thiamine pyrophosphate enzyme, C-terminal TPP-binding,IPR011896:2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate	hvo00020:Citrate cycle (TCA cycle),hvo00720:Carbon fixation pathways in prokaryotes,hvo01100:Metabolic pathways,hvo01120:Microbial metabolism in diverse environments,hvo01200:Carbon metabolism	HVO_RS08950	PF02775:Thiamine pyrophosphate enzyme, C-terminal TPP binding domain,PF12367:Pyruvate ferredoxin oxidoreductase beta subunit C terminal			Complete proteome,Oxidoreductase,Reference proteome,
8924808	2-oxoisovalerate dehydrogenase subunit beta(HVO_RS19010)	Haloferax volcanii DS2	1.2.4.-			GO:0016491~oxidoreductase activity	IPR005475:Transketolase-like, pyrimidine-binding domain,IPR009014:Transketolase, C-terminal/Pyruvate-ferredoxin oxidoreductase, domain II	hvo00010:Glycolysis / Gluconeogenesis,hvo00020:Citrate cycle (TCA cycle),hvo00620:Pyruvate metabolism,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites,hvo01120:Microbial metabolism in diverse environments,hvo01130:Biosynthesis of antibiotics,hvo01200:Carbon metabolism	HVO_RS19010	PF02779:Transketolase, pyrimidine binding domain,PF02780:Transketolase, C-terminal domain		SM00861:SM00861	Complete proteome,Oxidoreductase,Reference proteome,
8926686	2-phospho-L-lactate guanylyltransferase(HVO_RS15295)	Haloferax volcanii DS2	2.7.7.68	GO:0009108~coenzyme biosynthetic process		GO:0005525~GTP binding,GO:0043814~phospholactate guanylyltransferase activity	IPR002835:2-phospho-L-lactate guanylyltransferase, CofC	hvo00680:Methane metabolism,hvo01120:Microbial metabolism in diverse environments	HVO_RS15295	PF01983:Guanylyl transferase CofC like			Complete proteome,GTP-binding,Nucleotide-binding,Nucleotidyltransferase,Reference proteome,Transferase,
8924020	2-phospho-L-lactate transferase(HVO_RS16655)	Haloferax volcanii DS2	2.7.8.28	GO:0009108~coenzyme biosynthetic process		GO:0000287~magnesium ion binding,GO:0016773~phosphotransferase activity, alcohol group as acceptor,GO:0016780~phosphotransferase activity, for other substituted phosphate groups	IPR002882:LPPG:FO 2-phospho-L-lactate transferase CofD/UPF0052,IPR010115:LPPG:Fo 2-phospho-L-lactate transferase	hvo00680:Methane metabolism,hvo01120:Microbial metabolism in diverse environments	HVO_RS16655	PF01933:Uncharacterised protein family UPF0052			Complete proteome,Magnesium,Reference proteome,Transferase,
8919220	2-phosphosulfolactate phosphatase(HVO_RS00885)	Haloferax volcanii DS2				GO:0000287~magnesium ion binding,GO:0050532~2-phosphosulfolactate phosphatase activity	IPR005238:2-phosphosulpholactate phosphatase	hvo00680:Methane metabolism,hvo01120:Microbial metabolism in diverse environments	HVO_RS00885	PF04029:2-phosphosulpholactate phosphatase			Complete proteome,Plasmid,Reference proteome,
8926775	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase(HVO_RS11790)	Haloferax volcanii DS2	2.2.1.9	GO:0009234~menaquinone biosynthetic process		GO:0000287~magnesium ion binding,GO:0030145~manganese ion binding,GO:0030976~thiamine pyrophosphate binding,GO:0070204~2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity	IPR004433:Menaquinone biosynthesis protein MenD,IPR011766:Thiamine pyrophosphate enzyme, C-terminal TPP-binding,IPR012001:Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain	hvo00130:Ubiquinone and other terpenoid-quinone biosynthesis,hvo01100:Metabolic pathways,hvo01110:Biosynthesis of secondary metabolites	HVO_RS11790	PF02775:Thiamine pyrophosphate enzyme, C-terminal TPP binding domain,PF02776:Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	PIRSF004983:2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenD		Complete proteome,Magnesium,Manganese,Menaquinone biosynthesis,Metal-binding,Reference proteome,Thiamine pyrophosphate,Transferase,
